1 0.00
2 2.00
3 3.94
4 5.88
5 6.69
6 9.25
7 11.06
8 12.50
9 13.75
10 16.38
11 16.88
12 22.50
13 24.62
14 21.69
15 27.75
16 33.12
17 31.81
18 30.75
19 38.25
20 35.69
21 39.88
22 40.88
23 45.69
24 46.69
25 46.06
26 48.94
27 63.44
28 57.81
29 62.56
30 60.12
31 64.81
32 65.25
33 62.38
34 70.88
35 77.94
36 81.88
37 77.12
38 82.31
39 70.56
40 96.06
41 88.94
42 91.81
43 96.25
44 99.88
45 103.75
46 95.50
47 100.25
48 107.31
49 104.12
50 102.00
51 116.00
52 114.19
53 110.50
54 132.50
55 125.56
56 123.12
57 137.19
58 138.44
59 154.62
60 141.88
61 145.19
62 150.00
63 145.06
64 146.50
65 160.56
66 156.00
67 159.31
68 177.31
69 165.06
70 165.50
71 184.94
72 161.75
73 175.12
74 174.75
75 197.06
76 174.12
77 190.88
78 188.56
79 196.81
80 200.19
81 201.25
82 205.44
83 220.00
84 190.38
85 223.94
86 231.38
87 236.19
88 229.88
89 228.56
90 203.19
91 230.44
92 229.56
93 215.31
94 268.75
95 245.00
96 239.44
97 236.75
98 254.06
99 225.50
100 258.00
101 240.56
102 262.69
103 254.88
104 266.88
105 270.12
106 269.44
107 321.12
108 265.31
109 277.69
110 298.56
111 308.56
112 295.62
113 287.50
114 310.50
115 311.62
116 309.38
117 314.19
118 316.38
119 305.44
120 337.12
121 353.25
122 321.50
123 337.75
